iter	MultiClass
194	0.2725133771
195	0.2721380708
196	0.2716825692
197	0.2715034921
198	0.2712240495
199	0.2708419973
200	0.2706111717
201	0.2703082571
202	0.2694129347
203	0.2690598837
204	0.268813643
205	0.2684581106
206	0.2677485041
207	0.2675234616
208	0.2671977527
209	0.2669082867
210	0.2665321633
211	0.2661318991
212	0.2657050482
213	0.2655003667
214	0.2652365903
215	0.2649622022
216	0.2647686747
217	0.2644754994
218	0.2641998206
219	0.2638695485
220	0.2637354215
221	0.2634219424
222	0.2631265812
223	0.2629002753
224	0.2625480107
225	0.2622672427
226	0.2619451908
227	0.2617391849
228	0.2616195089
229	0.2611780939
230	0.2608506517
231	0.2604724718
232	0.2599389068
233	0.259530628
234	0.2593214115
235	0.2590136677
236	0.2587532084
237	0.2584832972
238	0.2581255286
239	0.2578857937
240	0.2575941808
241	0.2572189138
242	0.2568882956
243	0.2566615739
244	0.2564885058
245	0.2562946059
246	0.2560743257
247	0.2557939312
248	0.2553828717
249	0.2551343284
250	0.254825525
251	0.2546130999
252	0.2544694935
253	0.2540991669
254	0.2536419054
255	0.2533118877
256	0.2525819944
257	0.2523650281
258	0.2521111645
259	0.2517848515
260	0.251457068
261	0.2510859938
262	0.2508501028
263	0.2506252208
264	0.2503713281
265	0.2500440589
266	0.2498464599
267	0.2496383874
268	0.2493002694
269	0.2490492884
270	0.248775558
271	0.2485643174
272	0.2479815204
273	0.247793193
274	0.2474582061
275	0.2472293737
276	0.2470371183
277	0.2468244347
278	0.2465158867
279	0.2463602881
280	0.2458922046
281	0.2456170149
282	0.2454034603
283	0.2449325093
284	0.2446087636
285	0.2443536035
286	0.2442191619
287	0.2439591847
288	0.2437167469
289	0.2433349668
290	0.2431310711
291	0.2425514179
292	0.2422962699
293	0.2419673442
294	0.2417062645
295	0.2415095799
296	0.2411881507
297	0.2409757839
298	0.2407656001
299	0.2405159279
300	0.2403438899
301	0.2400980864
302	0.2399140096
303	0.2397808478
304	0.2395776093
305	0.2393737115
306	0.2390141024
307	0.2387915747
308	0.2385938415
309	0.2384174082
310	0.2381947178
311	0.2380230091
312	0.2377170315
313	0.2374974993
314	0.2371598225
315	0.2368364679
316	0.2365599953
317	0.2363452032
318	0.2360800432
319	0.2359060805
320	0.2356958613
321	0.2354165069
322	0.2353598308
323	0.2352550442
324	0.2350893067
325	0.234866944
326	0.2345212285
327	0.2343105075
328	0.2341044123
329	0.2336759623
330	0.2335325941
331	0.2332597078
332	0.2330117726
333	0.232835416
334	0.2323851251
335	0.2321482312
336	0.2319275267
337	0.2316317439
338	0.2314153108
339	0.2311190778
340	0.2309895416
341	0.230764463
342	0.2305670688
343	0.2303799559
344	0.2300927193
345	0.229846118
346	0.2296843467
347	0.2294044514
348	0.2292248944
349	0.2290552104
350	0.2288132341
351	0.2285691789
352	0.2282520513
353	0.228030555
354	0.2276865754
355	0.2272528254
356	0.2270306737
357	0.226851267
358	0.2266966054
359	0.2264792272
360	0.2262934049
361	0.2260920735
362	0.2258539136
363	0.2257248487
364	0.2256103537
365	0.225404633
366	0.2252300859
367	0.2249477289
368	0.2247509066
369	0.2246192616
370	0.2243027907
371	0.2241844959
372	0.2239970057
373	0.2237175856
374	0.2235513316
375	0.2233115346
376	0.2229249038
377	0.2227501161
378	0.2225055363
379	0.2223361342
380	0.222014054
381	0.2217573649
382	0.2215543387
383	0.2213354991
384	0.2210603731
385	0.2208906233
386	0.2206721526
387	0.2203398391
388	0.2200371648
389	0.2196907006
390	0.2194436819
391	0.219141064
392	0.2189830712
393	0.2188119519
394	0.2186818845
395	0.2185241234
396	0.2183345691
397	0.2181712454
398	0.2180670356
399	0.2179599206
400	0.2178576588
401	0.217542395
402	0.2173670274
403	0.2170604066
404	0.2169026843
405	0.2167365906
406	0.2166266741
407	0.2163936066
408	0.2162862877
409	0.2160108234
410	0.2157973491
411	0.2155566478
412	0.2153724558
413	0.2151728754
414	0.2150385633
415	0.2148904346
416	0.2147190988
417	0.214498489
418	0.2142959753
419	0.2141930849
420	0.2140140871
421	0.2138038227
422	0.2135463738
423	0.213274764
424	0.2130781097
425	0.2128166068
426	0.2126419936
427	0.2124229685
428	0.2122637056
429	0.2120282888
430	0.2118146183
431	0.2116620957
432	0.2115531136
433	0.2113192851
434	0.2110535527
435	0.2108286096
436	0.2106237547
437	0.2104406463
438	0.2101727568
439	0.2100184664
440	0.2098374756
441	0.2096627597
442	0.2093964995
443	0.209266706
444	0.2090430002
445	0.2089387489
446	0.208731083
447	0.2085447979
448	0.2083427361
449	0.2081756112
450	0.2079901295
451	0.2076284399
452	0.2073625827
453	0.2072542076
454	0.2070580593
455	0.2069266526
456	0.2067660169
457	0.2065492243
458	0.2064013176
459	0.206277535
460	0.2061187459
461	0.2059448003
462	0.2058555152
463	0.205620251
464	0.2053704387
465	0.2052092958
466	0.2050751004
467	0.2048178295
468	0.2045761735
469	0.2043642791
470	0.2041815933
471	0.2040632115
472	0.2038121983
473	0.2036502398
474	0.2035055879
475	0.2032640886
476	0.2031209113
477	0.2028746871
478	0.2026391485
479	0.2024072208
480	0.2022921181
481	0.2020873261
482	0.2019493576
483	0.2017874389
484	0.2016807363
485	0.2014628665
486	0.2012403481
487	0.2010803247
488	0.2009835444
489	0.2009095548
490	0.2007995014
491	0.2004788424
492	0.2002905197
493	0.2001184057
494	0.200002561
495	0.199795716
496	0.1996057209
497	0.1994333829
498	0.1992565432
499	0.1990465027
500	0.1988848634
501	0.198739933
502	0.1985834146
503	0.1984801726
504	0.1983136208
505	0.1980691155
506	0.1979558771
507	0.1978136045
508	0.1976449816
509	0.1972717566
510	0.1971339604
511	0.1970257816
512	0.1968802127
513	0.1967000608
514	0.1964621647
515	0.1963041775
516	0.1961378134
517	0.1960127954
518	0.1958816503
519	0.195707026
520	0.1955335493
521	0.1953177045
522	0.1951371604
523	0.194952395
524	0.1948043732
525	0.1945521575
526	0.1944320476
527	0.1943344434
528	0.1941900207
529	0.1940698545
530	0.1939510243
531	0.1938338613
532	0.1936829431
533	0.1935279444
534	0.1933335861
535	0.1932285953
536	0.1930606628
537	0.1929300085
538	0.192830055
539	0.192700948
540	0.1925528179
541	0.1923867909
542	0.1921663786
543	0.1920268637
544	0.1918721111
545	0.1917193861
546	0.1914984129
547	0.1913133016
548	0.1911601166
549	0.1909794823
550	0.1908463626
551	0.1907846415
552	0.1907122019
553	0.1905506753
554	0.1904610973
555	0.1902751692
556	0.1901045854
557	0.1899762471
558	0.1897574689
559	0.1895833234
560	0.1894495396
561	0.1892453567
562	0.1890912516
563	0.1889915455
564	0.1889221815
565	0.1887356199
566	0.1886317449
567	0.1884119037
568	0.1882443844
569	0.1880689113
570	0.1880222068
571	0.1878985658
572	0.1877939478
573	0.1876811372
574	0.187572746
575	0.1873800324
576	0.1871276101
577	0.1870328306
578	0.1869139455
579	0.1868141798
580	0.1867092159
581	0.1865522758
582	0.1864653249
583	0.186277793
584	0.186137282
585	0.1859749815
586	0.1857765447
587	0.185594829
588	0.1854328556
589	0.1852829751
590	0.185055633
591	0.184889271
592	0.1847964925
593	0.1845985075
594	0.1843949283
595	0.1843218327
596	0.184237478
597	0.1840988215
598	0.1839772073
599	0.1838736722
600	0.1836738731
601	0.1835860805
602	0.1833789794
603	0.1831729156
604	0.1829751564
605	0.1828963969
606	0.1827859444
607	0.1826355859
608	0.1824445593
609	0.1822236284
610	0.1820009775
611	0.1818407027
612	0.1816585538
613	0.1815681591
614	0.1814953472
615	0.1813805767
616	0.1813002956
617	0.1811886248
618	0.1810833307
619	0.1808400618
620	0.1807392569
621	0.1806170793
622	0.1804593985
623	0.1802686864
624	0.1801250839
625	0.1799537111
626	0.1798451426
627	0.1796996073
628	0.1795508567
629	0.1793372616
630	0.17918723
631	0.1789733634
632	0.1788604777
633	0.178640332
634	0.178504769
635	0.1783846777
636	0.1782102777
637	0.178083293
638	0.1778663752
639	0.1777319145
640	0.1775734338
641	0.1774242684
642	0.177284582
643	0.1772181068
644	0.1771181146
645	0.1768972967
646	0.1767960317
647	0.1767284623
648	0.1766506662
649	0.1765167861
650	0.1764464406
651	0.1762853641
652	0.1761493069
653	0.1760588207
654	0.1759978729
655	0.1758210311
656	0.1757932748
657	0.1756434308
658	0.1754850749
659	0.1753336435
660	0.1752314019
661	0.1750678076
662	0.1748757567
663	0.1748260738
664	0.1747180865
665	0.1745698394
666	0.1744341529
667	0.1743646326
668	0.1742684514
669	0.1741772925
670	0.1740480416
671	0.1738717529
672	0.1737527286
673	0.1736508082
674	0.1735667148
675	0.1733667808
676	0.1732274828
677	0.173024544
678	0.1728488578
679	0.1726883231
680	0.1725699
681	0.1724525014
682	0.1723733785
683	0.1722417866
684	0.1721008997
685	0.1719563227
686	0.1718074418
687	0.1716216622
688	0.1715129208
689	0.1713915715
690	0.171304906
691	0.171220601
692	0.1710586133
693	0.1708198395
694	0.1707501329
695	0.1706729339
696	0.1704759112
697	0.1703720084
698	0.1702224713
699	0.1699718576
700	0.1697864193
701	0.1696994245
702	0.1695146563
703	0.1694186605
704	0.1693224933
705	0.1691696334
706	0.1691053878
707	0.1690055755
708	0.1689015667
709	0.1688521176
710	0.1686799071
711	0.1685816439
712	0.168421479
713	0.1682894442
714	0.1681334324
715	0.1679267808
716	0.1678371696
717	0.1676497459
718	0.167439335
719	0.1672252769
720	0.1671145576
721	0.1670343891
722	0.1669412954
723	0.1667910777
724	0.1666659835
725	0.1665584756
726	0.1664373472
727	0.1663546413
728	0.1662395872
729	0.1661371359
730	0.1659645499
731	0.1658171366
732	0.1657498095
733	0.1656388761
734	0.1654904677
735	0.1653857041
736	0.1651810568
737	0.1650943085
738	0.1649815905
739	0.1648003831
740	0.1646627501
741	0.1646084539
742	0.1645036913
743	0.1644008579
744	0.1642742693
745	0.1641826979
746	0.164101382
747	0.1639636234
748	0.1639049357
749	0.1637700873
750	0.1635950784
751	0.1634549364
752	0.1633683693
753	0.1633041867
754	0.1631988577
755	0.1630780663
756	0.1628638296
757	0.1627727733
758	0.1627012952
759	0.1625117749
760	0.1624098354
761	0.1622512869
762	0.1621504922
763	0.1619380508
764	0.161815263
765	0.1617203282
766	0.1615698754
767	0.1614064448
768	0.1612427655
769	0.1611599732
770	0.1610316782
771	0.1609429638
772	0.1608154347
773	0.1606632636
774	0.1605102522
775	0.160387417
776	0.1602150669
777	0.1600034529
778	0.1598779133
779	0.1596362628
780	0.1595264981
781	0.1594648079
782	0.1593595757
783	0.1592238363
784	0.1591049142
785	0.1589924612
786	0.1589041284
787	0.1588181601
788	0.1586362028
789	0.1585984912
790	0.1584741974
791	0.158387483
792	0.1582550217
793	0.1581334775
794	0.1580382802
795	0.1579403418
796	0.1578062569
797	0.1576739032
798	0.1575914433
799	0.1575107793
800	0.1573127343
801	0.1571534748
802	0.1570323357
803	0.1569441425
804	0.1568299808
805	0.1567836614
806	0.156655683
807	0.1565738031
808	0.1564039823
809	0.1562866156
810	0.156169455
811	0.1560760627
812	0.155991872
813	0.1558193005
814	0.1557163349
815	0.1556122042
816	0.1555625558
817	0.1554333343
818	0.1553383621
819	0.1552211821
820	0.1550714543
821	0.154975064
822	0.1548621892
823	0.154776129
824	0.1547142614
825	0.1546200991
826	0.1545524231
827	0.1544276453
828	0.1543258466
829	0.1541291349
830	0.1540454216
831	0.1539769876
832	0.1538643071
833	0.1537812356
834	0.1536255933
835	0.1535431024
836	0.1534268114
837	0.1532577377
838	0.1531227509
839	0.1530513397
840	0.1529785611
841	0.1529435442
842	0.1528613211
843	0.1528032031
844	0.1527310805
845	0.152631324
846	0.1525376109
847	0.1524772282
848	0.1523987087
849	0.1523348205
850	0.152257464
851	0.1521499121
852	0.1520005093
853	0.1519077086
854	0.1517567989
855	0.1516569382
856	0.151602029
857	0.1514863192
858	0.1514211334
859	0.151309667
860	0.1512308239
861	0.151124909
862	0.1509628343
863	0.1509167428
864	0.1507982572
865	0.1506864521
866	0.1505226952
867	0.1504483177
868	0.1503829193
869	0.1502876578
870	0.1501279237
871	0.1499535114
872	0.1498488699
873	0.1497073306
874	0.1496087413
875	0.1495261552
876	0.1493661416
877	0.1491885509
878	0.1490261635
879	0.1489347752
880	0.1488337235
881	0.1487029242
882	0.1486139873
883	0.1485590317
884	0.1484277848
885	0.148317663
886	0.148153985
887	0.1480975924
888	0.1480429107
889	0.1479694083
890	0.147844484
891	0.147783802
892	0.1477219414
893	0.1475838348
894	0.1475024671
895	0.14741222
896	0.1472722304
897	0.1471645246
898	0.1470449017
899	0.1469491723
900	0.1468580288
901	0.1466993282
902	0.1466008633
903	0.146476297
904	0.1463032659
905	0.146253537
906	0.1460786203
907	0.1459616274
908	0.1458737081
909	0.1458024474
910	0.1457338432
911	0.1455853332
912	0.1455038071
913	0.1454209027
914	0.1453370605
915	0.145255823
916	0.1451919911
917	0.145039204
918	0.1449700663
919	0.1448598156
920	0.1447531045
921	0.1446176428
922	0.1445200017
923	0.144404087
924	0.1443291578
925	0.144285288
926	0.1441985671
927	0.1441421541
928	0.1440368891
929	0.1438543651
930	0.1436725734
931	0.1435899922
932	0.1434218324
933	0.1433411685
934	0.1432373949
935	0.1430958855
936	0.1429583111
937	0.1427819565
938	0.1426562011
939	0.14256523
940	0.1425159878
941	0.1424376391
942	0.142376622
943	0.1422761024
944	0.1421795858
945	0.1420915567
946	0.1419519897
947	0.141834818
948	0.1417752319
949	0.1416881029
950	0.1416434328
951	0.1415425543
952	0.1414413875
953	0.1413428883
954	0.1412244707
955	0.1411312009
956	0.1410504453
957	0.1409927552
958	0.1409015353
959	0.1407668975
960	0.1406558138
961	0.140494519
962	0.1404219763
963	0.1403308373
964	0.140190221
965	0.1400902913
966	0.1400223478
967	0.1399799354
968	0.1399000141
969	0.139820925
970	0.1397057452
971	0.1396348503
972	0.1395565592
973	0.1394327581
974	0.1393815584
975	0.1392251299
976	0.1391374669
977	0.1390012123
978	0.1389160433
979	0.1387763837
980	0.1386622859
981	0.1385498504
982	0.1384033979
983	0.1383295262
984	0.1381881666
985	0.138091973
986	0.1379927939
987	0.1378475165
988	0.1377546486
989	0.1376867377
990	0.137602072
991	0.1374947108
992	0.1374083
993	0.1373294587
994	0.1372008443
995	0.1371264924
996	0.1369907736
997	0.1368685598
998	0.1367273894
999	0.1366415836
